date,value
2005-01-03,189.32440422628866
2005-01-04,185.35899865604975
2005-01-05,177.7503727893248
2005-01-06,176.38707053945177
2005-01-07,181.55163763113876
2005-01-10,183.94181353302946
2005-01-11,189.89235617897722
2005-01-12,193.5270872932553
2005-01-13,196.09918742674603
2005-01-14,195.64157379621395
2005-01-17,201.22245756506592
2005-01-18,200.09776513724415
2005-01-19,200.5072666610192
2005-01-24,198.2726536933626
2005-01-25,201.57599245648973
2005-01-26,204.96968697538315
2005-01-27,204.51460693260483
2005-01-28,202.65045229932954
2005-01-31,205.18316972485027
2005-02-01,212.91895454179652
2005-02-02,210.84149447597667
2005-02-03,208.1178277582432
2005-02-04,212.31450433139238
2005-02-07,213.81121839846705
2005-02-08,212.71406454344367
2005-02-09,206.8226987031265
2005-02-10,205.32932622822088
2005-02-11,210.52220690371536
2005-02-14,213.84957253068353
2005-02-15,214.82913307748652
2005-02-16,210.35436142804565
2005-02-17,207.13769554872437
2005-02-18,208.8232580508908
2005-02-21,206.80754445203277
2005-02-22,206.0077272307268
2005-02-23,206.92775779604472
2005-02-24,210.58197441781542
2005-02-25,217.04607699895706
2005-02-28,222.19249315409405
2005-03-01,217.1110148820536
2005-03-02,212.70626066713618
2005-03-03,215.30390267008326
2005-03-04,220.7757253737682
2005-03-07,221.1691090735109
2005-03-08,221.2324340299872
2005-03-09,220.82291125686723
2005-03-10,215.9262419536069
2005-03-11,218.5715391341465
2005-03-14,209.13665688465582
2005-03-15,203.8955265204952
2005-03-16,192.70978037649093
2005-03-17,185.9878399276483
2005-03-18,192.7642506314013
2005-03-21,184.54456730690237
2005-03-22,187.14806165690388
2005-03-23,179.9653889268794
2005-03-24,183.85405040992345
2005-03-25,188.7683272818366
2005-03-28,180.2772084818187
2005-03-29,176.3667111325329
2005-03-30,180.75607141871762
2005-03-31,189.52762358117963
2005-04-01,190.67258144886262
2005-04-04,186.54766199900524
2005-04-05,189.53875172831474
2005-04-06,192.86899992755673
2005-04-07,192.12496999818148
2005-04-08,191.4365179559545
2005-04-11,188.76711782002394
2005-04-12,186.1766876367046
2005-04-13,188.8961981762314
2005-04-14,179.92668978080084
2005-04-15,174.87757424121406
2005-04-18,170.0942298522362
2005-04-19,177.39824076511167
2005-04-20,179.01444272856426
2005-04-21,179.224960580002
2005-04-22,182.71739718430038
2005-04-25,181.93763491399483
2005-04-26,180.02940717834508
2005-04-27,175.18268720132065
2005-04-28,168.90196904633513
2005-04-29,170.7680053485838
2005-05-02,176.38545365767047
2005-05-03,177.35415732561265
2005-05-04,183.42196225080673
2005-05-05,187.3126766176767
2005-05-06,185.57679858186603
2005-05-09,182.97925837871304
2005-05-10,180.9992685758274
2005-05-11,180.41624047383036
2005-05-12,185.0729538893722
2005-05-13,185.33260158982355
2005-05-17,180.89625077017362
2005-05-18,184.7233303186649
2005-05-20,185.06467545575242
2005-05-23,176.29782696149599
2005-05-24,175.57017933238637
2005-05-25,175.12378845436456
2005-05-26,174.68482560944554
2005-05-27,179.604114143221
2005-05-30,184.06632358637066
2005-05-31,185.97273893490498
2005-06-01,187.033360220964
2005-06-02,192.5305902149637
2005-06-03,192.05011834366846
2005-06-06,188.0198719597462
2005-06-07,186.92589301793046
2005-06-08,190.82014317645027
2005-06-09,187.8453098058535
2005-06-10,189.0169178222275
2005-06-13,186.52585673752574
2005-06-14,188.0340978346094
2005-06-15,191.86968034021595
2005-06-16,195.3671454285887
2005-06-17,196.36788217498105
2005-06-20,197.115872131631
2005-06-21,197.68217324254633
2005-06-22,199.0286144823827
2005-06-23,200.60504511058278
2005-06-24,200.5445140559067
2005-06-27,198.00342426092325
2005-06-28,200.4590792158444
2005-06-29,203.34133975524085
2005-06-30,203.22124856739916
2005-07-01,207.88031585032158
2005-07-04,207.19746274130188
2005-07-05,204.38671975536954
2005-07-06,206.09346078704306
2005-07-07,205.33554784734633
2005-07-08,207.39219155605733
2005-07-11,208.06657952302905
2005-07-12,209.1329290721835
2005-07-13,211.309486986214
2005-07-14,214.61522103404906
2005-07-15,214.54566039514864
2005-07-18,213.39369974860364
2005-07-19,215.44252755225887
2005-07-20,216.1347405024252
2005-07-21,218.8082864578432
2005-07-22,218.7193868613582
2005-07-25,219.6046615573903
2005-07-26,214.56834182280355
2005-07-27,218.2994144825014
2005-07-28,221.79138535796307
2005-07-29,224.13759817421135
2005-08-01,225.75208263779518
2005-08-02,224.92195435704716
2005-08-03,226.83784071183186
2005-08-04,229.9511493050007
2005-08-05,227.80830420361252
2005-08-08,226.36004523099726
2005-08-09,224.3278017762004
2005-08-10,224.70250206856548
2005-08-11,219.2153784298143
2005-08-12,209.1752057068239
2005-08-15,209.0461515683477
2005-08-16,209.78247605747356
2005-08-17,203.99340793557403
2005-08-18,204.37956133243964
2005-08-19,206.35896364851325
2005-08-22,213.0345949050703
2005-08-23,213.8578630534171
2005-08-24,215.10215350210797
2005-08-25,218.41904484103244
2005-08-26,221.38939663217917
2005-08-29,221.51365073913277
2005-08-31,230.22718298630775
2005-09-01,239.4902646490926
2005-09-02,237.64317335130826
2005-09-05,239.51541736194224
2005-09-06,239.432133732473
2005-09-07,235.446375939075
2005-09-08,236.28818642633357
2005-09-09,241.39955781753346
2005-09-12,244.66042587763496
2005-09-13,242.48212287048867
2005-09-14,243.525370894341
2005-09-15,248.75589118950197
2005-09-16,248.37224459131755
2005-09-19,247.27354010769207
