date,value
1997-07-01,18.510000228881836
1997-07-02,18.729999542236328
1997-07-03,19.1200008392334
1997-07-04,19.18000030517578
1997-07-07,19.530000686645508
1997-07-08,19.110000610351562
1997-07-09,19.510000228881836
1997-07-10,19.989999771118164
1997-07-11,20.270000457763672
1997-07-14,20.43000030517578
1997-07-15,20.360000610351562
1997-07-16,20.09000015258789
1997-07-17,20.059999465942383
1997-07-18,20.100000381469727
1997-07-21,19.549999237060547
1997-07-22,19.530000686645508
1997-07-23,19.190000534057617
1997-07-24,19.25
1997-07-25,18.889999389648438
1997-07-28,18.360000610351562
1997-07-29,18.5
1997-07-30,19.030000686645508
1997-07-31,19.530000686645508
1997-08-01,19.729999542236328
1997-08-04,20.360000610351562
1997-08-05,20.030000686645508
1997-08-06,20.34000015258789
1997-08-07,20.5
1997-08-08,20.399999618530273
1997-08-11,20.31999969482422
1997-08-12,20.360000610351562
1997-08-13,20.049999237060547
1997-08-14,20.15999984741211
1997-08-15,20.040000915527344
1997-08-18,19.520000457763672
1997-08-19,19.399999618530273
1997-08-20,19.299999237060547
1997-08-21,19.75
1997-08-22,19.65999984741211
1997-08-25,19.510000228881836
1997-08-26,19.25
1997-08-27,19.25
1997-08-28,19.729999542236328
1997-08-29,19.799999237060547
1997-09-01,19.780000686645508
1997-09-02,20.200000762939453
1997-09-03,20.540000915527344
1997-09-04,21.040000915527344
1997-09-05,21.239999771118164
1997-09-08,21.979999542236328
1997-09-09,22.350000381469727
1997-09-10,22.59000015258789
1997-09-11,22.93000030517578
1997-09-12,23.06999969482422
1997-09-15,23.6200008392334
1997-09-16,23.59000015258789
1997-09-17,24.100000381469727
1997-09-18,24.06999969482422
1997-09-19,23.899999618530273
1997-09-22,24.020000457763672
1997-09-23,24.1299991607666
1997-09-24,24.8700008392334
1997-09-25,25.549999237060547
1997-09-26,25.920000076293945
1997-09-29,26.440000534057617
1997-09-30,25.93000030517578
1997-10-01,25.84000015258789
1997-10-02,26.969999313354492
1997-10-03,27.520000457763672
1997-10-06,28.489999771118164
1997-10-07,28.540000915527344
1997-10-08,29.389999389648438
1997-10-09,29.540000915527344
1997-10-10,29.43000030517578
1997-10-13,30.479999542236328
1997-10-14,32.119998931884766
1997-10-15,32.22999954223633
1997-10-16,32.58000183105469
1997-10-17,34.5099983215332
1997-10-20,34.15999984741211
1997-10-21,34.41999816894531
1997-10-22,34.970001220703125
1997-10-23,35.43000030517578
1997-10-24,35.119998931884766
1997-10-27,31.190000534057617
1997-10-28,28.239999771118164
1997-10-30,27.170000076293945
1997-10-31,28.459999084472656
1997-11-03,28.459999084472656
1997-11-04,29.719999313354492
1997-11-05,31.68000030517578
1997-11-06,31.6299991607666
1997-11-07,29.579999923706055
1997-11-10,29.829999923706055
1997-11-11,29.18000030517578
1997-11-12,28.010000228881836
1997-11-13,26.940000534057617
1997-11-14,26.920000076293945
1997-11-17,28.899999618530273
1997-11-18,29.6200008392334
1997-11-19,29.149999618530273
1997-11-20,29.690000534057617
1997-11-21,30.770000457763672
1997-11-24,27.8700008392334
1997-11-25,28.420000076293945
1997-11-26,29.020000457763672
1997-11-27,29.040000915527344
1997-11-28,28.790000915527344
1997-12-01,28.139999389648438
1997-12-02,29.229999542236328
1997-12-03,29.979999542236328
1997-12-04,30.530000686645508
1997-12-05,29.68000030517578
1997-12-08,28.56999969482422
1997-12-09,29.25
1997-12-10,29.399999618530273
1997-12-11,28.670000076293945
1997-12-12,28.43000030517578
1997-12-15,29.700000762939453
1997-12-16,29.530000686645508
1997-12-17,30.06999969482422
1997-12-18,30.579999923706055
1997-12-19,31.450000762939453
1997-12-22,31.770000457763672
1997-12-23,31.75
1997-12-24,31.290000915527344
1997-12-25,30.75
1997-12-26,31.829999923706055
1997-12-29,33.349998474121094
1997-12-30,34.59000015258789
1997-12-31,34.5099983215332
1998-01-05,37.11399841308594
1998-01-06,36.52000045776367
1998-01-07,36.82600021362305
1998-01-08,35.9010009765625
1998-01-09,35.87099838256836
1998-01-12,31.996999740600586
1998-01-13,34.138999938964844
1998-01-14,32.8489990234375
1998-01-15,32.94599914550781
1998-01-16,33.847999572753906
1998-01-19,35.13100051879883
1998-01-20,34.77899932861328
1998-01-21,35.23899841308594
1998-01-22,34.52199935913086
1998-01-23,34.597999572753906
1998-01-26,35.172000885009766
1998-01-27,35.15399932861328
1998-01-28,35.47200012207031
1998-02-02,33.672000885009766
1998-02-03,32.49100112915039
1998-02-04,30.347999572753906
1998-02-05,29.815000534057617
1998-02-06,29.865999221801758
1998-02-09,28.475000381469727
1998-02-10,27.770999908447266
1998-02-11,29.268999099731445
1998-02-12,30.079999923706055
1998-02-13,30.145999908447266
1998-02-16,30.371000289916992
1998-02-17,31.031999588012695
1998-02-18,31.051000595092773
1998-02-19,29.083999633789062
1998-02-20,29.729999542236328
1998-02-23,33.06800079345703
1998-02-24,32.25699996948242
1998-02-25,33.33399963378906
1998-02-26,34.02399826049805
1998-02-27,32.72200012207031
1998-03-02,33.46699905395508
1998-03-03,33.5359992980957
1998-03-04,33.20600128173828
1998-03-05,34.06100082397461
1998-03-06,34.698001861572266
1998-03-09,35.13999938964844
1998-03-10,35.29399871826172
1998-03-11,35.19300079345703
1998-03-12,34.92900085449219
1998-03-13,33.891998291015625
1998-03-16,33.77399826049805
1998-03-17,33.974998474121094
1998-03-18,33.05699920654297
1998-03-19,32.47700119018555
1998-03-20,32.698001861572266
1998-03-23,32.667999267578125
1998-03-24,32.4109992980957
1998-03-25,33.00899887084961
1998-03-26,33.38199996948242
1998-03-27,33.13800048828125
1998-03-30,32.22800064086914
1998-03-31,32.590999603271484
1998-04-01,32.60300064086914
1998-04-02,33.444000244140625
